Attribute Name,Attribute ID,Description,Attribute Type,Required,Numeric Values,From Range,To Range,Increment,Category ID
Tom-tom design,2472,"Describes the type of tom-tom drum, such as floor or rack",text,No,0,,,,ae-2-8-5-11
Keyboard action,2473,"Specifies the feel of piano keys, such as hammer action or weighted keys",text,No,0,,,,ae-2-8-6-4
Piano additional features,3025,"Highlights extra functionalities of pianos, like built-in speakers or metronome",text,No,0,,,,ae-2-8-6-4
Piano pedals,2474,"Identifies the type of pedals on a piano, such as sustain or sostenuto",text,No,0,,,,ae-2-8-6-4
Piano size,2475,"Defines the type and size of a piano, such as baby grand or upright",text,No,0,,,,ae-2-8-6-4
Instrument color,1,"Identifies the color of a musical instrument, such as black or silver",text,No,0,,,,ae-2-8-7-9-3
Instrument pattern,3,"Describes the visual design or motif on a musical instrument, such as solid or texture",text,No,0,,,,ae-2-8-7-9-3
Instrument string color,1,"Identifies the color of the strings on musical instruments, like gold or silver",text,No,0,,,,ae-2-8-7-9-3
Instrument string pattern,3,"Indicates the pattern on guitar strings, such as solid or geometric",text,No,0,,,,ae-2-8-7-9-3
Instrument bow material,2940,"Identifies the material used in the construction of a musical instrument's bow, such as carbon fiber or brazilwood",text,No,0,,,,ae-2-8-7-6
String instrument size,2477,"Indicates the size of a string instrument, such as 3/4 or full size",text,No,0,,,,ae-2-8-7-6
Fingerboard color,1,"Specifies the fingerboard color on string instruments, e.g. silver, white",text,No,0,,,,ae-2-8-7-2-4
Fingerboard material,2936,"Specifies the type of material used for the fingerboard on guitars, such as ebony wood or synthetic",text,No,0,,,,ae-2-8-7-2-4
Fingerboard pattern,3,"Describes the design or motif on a guitar's fingerboard, like floral or geometric",text,No,0,,,,ae-2-8-7-2-4
Guitar size,2479,"Specifies the size of the guitar, such as full size or 3/4 size",text,No,0,,,,ae-2-8-7-2-4
Neck color,1,"Identifies the color of the neck area on a guitar, such as white or multicolor",text,No,0,,,,ae-2-8-7-2-4
Neck material,2936,"Identifies the material used in the neck of string instruments, like maple wood or rosewood",text,No,0,,,,ae-2-8-7-2-4
Neck pattern,3,"Identifies the design or print on a guitar's neck, like floral or striped",text,No,0,,,,ae-2-8-7-2-4
Harp size,2481,"Specifies the size category of a harp, e.g. petite, concert grand",text,No,0,,,,ae-2-8-7-3-4
Mandolin back shape,4993,"Specifies the curvature and design of the mandolin's back, such as flat-back or archtop",text,No,0,,,,ae-2-8-7-8-2
Clarinet key system,2482,"Identifies the key system for a clarinet, such as Albert or Boehm",text,No,0,,,,ae-2-8-8-2-7
Mouthpiece,2483,"Identifies the type of mouthpiece for musical instruments, such as A or Bass",text,No,0,,,,ae-2-8-8-2-7
Flute configuration,2484,"Identifies the specific setup of a flute, such as B footjoint or Inline G",text,No,0,,,,ae-2-8-8-3-4
Headjoint cut,2485,"Specifies the cut of the headjoint in flutes, e.g. wave, Z-cut",text,No,0,,,,ae-2-8-8-3-4
Melodica style,2487,"Specifies the layout style of a melodica instrument, such as piano-style or keyboard-style",text,No,0,,,,ae-2-8-8-7-2
Musical key,2488,"Specifies the musical key of an instrument, e.g. C major, F#",text,No,0,,,,ae-2-8-8-14-2
Oboe key system,2489,"Identifies the key system of an oboe, such as French or conservatory",text,No,0,,,,ae-2-8-8-9-2
Ocarina style,2490,"Describes the style of ocarinas, e.g. transverse or pendant",text,No,0,,,,ae-2-8-8-10-3
Recorder fingering system,2491,"Specifies the type of recorder fingering system, e.g. German, baroque",text,No,0,,,,ae-2-8-8-11-7
Extended saxophone range,2492,"Specifies the extended note range of a saxophone, such as high F# key or low A key",text,No,0,,,,ae-2-8-8-12-5
Item style,2493,"Describes the aesthetic or design theme of a product, such as modern or rustic",text,No,0,,,,ae-3-2-28
Corsage/Boutonnière design,2494,"Describes the style of corsage or boutonnière, such as handheld or pin-on",text,No,0,,,,ae-3-1-2
Arrangement,2496,"Specifies how flowers are arranged or presented, e.g. vase, basket",text,No,0,,,,hg-17-2
Flower color,1,"Specifies the color of the flower, such as pink or multicolor",text,No,0,,,,hg-17-6
Plant characteristics,1445,"Defines specific traits of plants, e.g. flowering, edible",text,No,0,,,,hg-17-6
Plant class,1338,"Classifies plants into specific taxonomic groups, e.g. liliopsida, brassicales",text,No,0,,,,hg-17-6
Plant name,1339,"Identifies the botanical or common name of the plant, such as rose, basil, or cucumber",text,No,0,,,,hg-17-6
Stem length,2497,"Indicates the length of a flower's stem, such as short, medium, or long",text,No,0,,,,ae-3-1-3-6
Sunlight,1446,"Specifies the amount of sunlight needed for plants, such as shade or full sun",text,No,0,,,,hg-17-6
Gift bag handle design,2502,"Describes the style of handles on gift bags, such as rope or ribbon",text,No,0,,,,ae-3-1-5-1
Card size,2234,"Used to indicate the size of greeting or note cards, e.g. A4, letter",text,No,0,,,,ae-3-2-1
Personalization design,2504,"Describes the customization options for a product, typically notecards; e.g. blank, printed",text,No,0,,,,os-7-2
Balloon kit items included,2505,"Specifies the items provided in a balloon kit, like clips or weights",text,No,0,,,,ae-3-2-2
Balloon shape,2506,"Describes the form or design of a balloon, such as round or heart",text,No,0,,,,ae-3-2-3
Banner design,2507,"Specifies the design features of party banners, like tassel or garland",text,No,0,,,,ae-3-2-4
Birthday candle design,2508,"Describes the visual theme of birthday candles, such as animal-shaped or cartoon character",text,No,0,,,,ae-3-2-5
Birthday candle type,3293,"Identifies the unique characteristics of birthday candles, e.g. scented, sparkler",text,No,0,,,,ae-3-2-5
Cocktail decoration design,2509,"Identifies the pattern or style of cocktail party supplies, like polka dots or novelty shapes",text,No,0,,,,ae-3-2-7-5
Cocktail decoration material,2956,"Specifies the substance cocktail decorations are made from, like plastic or paper",text,No,0,,,,ae-3-2-7-5
Game components,2510,"Identifies the parts included in a game set, such as dice or game board",text,No,0,,,,ae-3-2-10
Game difficulty,2511,"Describes the level of challenge in a party game, such as medium or difficult",text,No,0,,,,ae-3-2-19
Game name,2512,"Identifies the specific name of a drinking game, such as Beer pong or Kings cup",text,No,0,,,,ae-3-2-10
Straw/Stirrer design,2513,"Describes the design or style of a straw or stirrer, such as straight or flexible",text,No,0,,,,ae-3-2-11
Envelope seal design,2514,"Describes the aesthetic or style of envelope seals, such as floral or monogram",text,No,0,,,,ae-3-2-12
Program format,2515,"Describes the layout of event programs, such as booklet or single sheet",text,No,0,,,,ae-3-2-13
Noise intensity,2516,"Describes the level of sound produced by a product, typically fireworks; e.g. low, high",text,No,0,,,,ae-3-2-14-3
Card format,2517,"Describes the style of invitations or cards, such as flat card or folded card",text,No,0,,,,ae-3-2-16
Invitation personalization design,2518,"Defines the design features of an invitation, e.g. RSVP included, customizable",text,No,0,,,,ae-3-2-16
Piñata design,2519,"Describes the visual theme of a piñata, such as traditional or animal",text,No,0,,,,ae-3-2-23
Card holder design,2520,"Describes the style or form of a place card holder, such as clip-on or stand-up",text,No,0,,,,ae-3-2-24
Card design,2521,"Specifies the form of a place or response card, such as folded or flat",text,No,0,,,,ae-3-2-26
Mounting type,1205,"Specifies how a product is installed or attached, such as clip-on or suction cup",text,No,0,,,,sg-4-14-1-1
Fluid type,2522,"Specifies the fluid required for special effects equipment, like dry ice or fog juice",text,No,0,,,,ae-3-3-2
SFX control technology,2523,"Identifies how special effects devices are operated, such as DMX or sound-activated",text,No,0,,,,ae-3-3-5-5
Compatible special effects device,2524,"Identifies the special effects devices a product can work with, like LED lights or fog machines",text,No,0,,,,ae-3-3-4
Load capacity,2117,"Specifies the weight limit a product can handle, such as light-duty or heavy-duty",text,No,0,,,,ha-6-3
Award occasion,2525,"Specifies the purpose of an award, like employee recognition or academic achievement",text,No,0,,,,ae-3-4-5
Award design,2526,"Describes the style or theme of an award or certificate, such as modern or formal",text,No,0,,,,ae-3-4-1
Engraving,2527,"Details the type of engraving on a product, such as custom text or logo engraving",text,No,0,,,,ae-3-4-5
Trophy design,2528,"Describes the specific style or shape of a trophy, such as a cup or star",text,No,0,,,,ae-3-4-5
Infant age group,1715,"Classifies products suitable for specific infant age ranges, e.g. newborn, 0-6 months",text,No,0,,,,bt-10-1-6
Safety certifications,1716,"Indicates product's compliance with safety standards, typically for baby products; e.g. BPA free",text,No,0,,,,bt-1-1-5
Baby gift items included,1717,"Details the components of a baby gift package, such as books or teethers",text,No,0,,,,bt-2
Gift set format,1718,"Specifies the presentation style of gift sets, such as gift box or gift bag",text,No,0,,,,bt-2
Personalization options,1719,"Specifies the customization choices available, like a monogram or custom message",text,No,0,,,,el-4-8-4-2-1
Baby health items included,1720,"Specifies the items included in baby grooming kits, like nail clippers or thermometer",text,No,0,,,,bt-3-1
Grooming kit format,1721,"Specifies the packaging type of grooming kits, e.g. kit bag or box",text,No,0,,,,bt-3-1
Wipe fragrance,1722,"Identifies the aroma of wipe products, such as unscented or lavender",text,No,0,,,,bt-9-2-3
Pacifier/Teether design,1723,"Describes the design of baby pacifiers and teethers, e.g. ring-shaped, orthodontic",text,No,0,,,,bt-3-5-2
Door stopper design,1724,"Specifies the style of a door stopper, such as hook-shaped or wedge-shaped",text,No,0,,,,bt-4-1-1
Safety device installation,1725,"Defines how safety products are mounted or attached, e.g. adhesive, screw-mounted",text,No,0,,,,bt-4-5-5
Locking mechanism,1726,"Specifies the type of lock used, typically for safety products; e.g. auto-close, slide",text,No,0,,,,bt-4-5-5
Gate mounting type,1727,"Specifies where a baby or pet gate is installed, such as wall or doorway",text,No,0,,,,bt-4-2-3
Opening direction,1728,"Specifies the direction in which a product opens, typically for gates; e.g. one-way swing",text,No,0,,,,bt-4-2-2
Opening mechanism,1729,"Specifies how a product is opened, typically for baby or pet gates; e.g. lever, foot pedal",text,No,0,,,,bt-4-2-3
Baby monitor features,3026,"Describes the capabilities of a baby monitor, such as two-way communication or temperature monitoring",text,No,0,,,,bt-4-3-3
Display color mode,1730,"Specifies the product's display color, e.g. color, black & white",text,No,0,,,,el-4-8-2-2
Range type,1731,"Defines the coverage area of devices like baby monitors, such as long-range",text,No,0,,,,sg-4-15-2
Safety rail installation,1732,"Defines how safety rails are installed, such as adjustable or permanent",text,No,0,,,,bt-4-6-2
Developmental features,3027,"Highlights the developmental benefits of a product, such as language development or emotional & social growth",text,No,0,,,,bt-5-12
Language,1733,"Specifies the language used or compatible language, e.g. English, multilingual",text,No,0,,,,me-4-3
Baby equipment safety features,3029,"Identifies safety aspects of baby gear, like 3-point harness or non-slip base",text,No,0,,,,bt-5-3-2
Motion,1734,"Defines the movement type of baby equipment, such as vibrating or bouncing",text,No,0,,,,bt-5-4-2
Portability,1634,"Specifies the ease of moving or carrying a product, typically for breast pumps; e.g. portable, compact size",text,No,0,,,,os-10-5
Mobile mounting type,1736,"Specifies where a baby mobile can be attached, e.g. crib, stroller",text,No,0,,,,bt-5-5-3
Attachment method,1737,"Defines the method used to attach or affix the product, e.g. velcro, clip-on",text,No,0,,,,bt-5-7-3
Mobile movement,1738,"Describes the mechanism of baby mobiles, such as battery-operated or wind up",text,No,0,,,,bt-5-6-3
Nursery theme,1739,"Defines the design or motif of nursery-related products, like jungle or dinosaur",text,No,0,,,,bt-5-6-3
Light options,1740,"Specifies the lighting features of a product, such as soft glow or color changing",text,No,0,,,,bt-5-7-3
Soothing sounds,1741,"Defines the variety of relaxing sounds offered, e.g. heartbeat, white noise",text,No,0,,,,bt-5-7-3
Play equipment items included,3294,"Lists the additional items included with play equipment, like hanging toys or mirror",text,No,0,,,,bt-5-10
Play yard design features,3295,"Identifies special characteristics of a play yard, such as mesh sides or pockets",text,No,0,,,,bt-5-10
Baby/Toddler car seat features,3029,"Highlights key features of baby/toddler car seats, like 5-point harness or side-impact protection",text,No,0,,,,bt-6-1-4
Car seat installation,1742,"Specifies the method for installing a child car seat, such as latch or seatbelt",text,No,0,,,,bt-6-1-4
Car seat orientation,1743,"Specifies the direction a child car seat faces, such as rear or forward facing",text,No,0,,,,bt-6-1-4
Folding mechanism,1744,"Defines how a product folds, typically for strollers; e.g. compact, one-hand",text,No,0,,,,bt-6-3-6
Stroller wheel type,1745,"Defines the type of wheels on a stroller, like all-terrain or swivel",text,No,0,,,,bt-6-3-6
Carrying positions,1746,"Specifies the different ways a baby carrier can be worn, like hip carry or back-facing",text,No,0,,,,bt-6-2-5
Double stroller configuration,1747,"Defines the seating arrangement in double strollers, such as tandem or side-by-side",text,No,0,,,,bt-6-3-2
Compatible seat type,1748,"Specifies the type of child car seat the product fits, such as booster or infant car seat",text,No,0,,,,bt-7-1-6
Compatible baby carrier type,1749,"Specifies the type of baby carrier the product is compatible with, like wrap or backpack carrier",text,No,0,,,,bt-7-2-6
Compatible stroller type,1750,"Specifies the type of stroller the product fits with, like umbrella or jogging",text,No,0,,,,bt-7-3-7
Compatible baby transport type,1751,"Identifies compatible baby transport items, like stroller or car seat",text,No,0,,,,bt-7-4
Compatible baby chair type,1752,"Specifies the type of baby chair the product fits, such as shopping cart or restaurant",text,No,0,,,,bt-7-5
Wipe dispenser features,3032,"Describes special characteristics of wipe dispensers, such as dispensing mechanism or LED indicator",text,No,0,,,,bt-9-1-3
Wipe warmer features,3032,"Details the specific features of a wipe warmer, such as travel friendly or moisture retention",text,No,0,,,,bt-9-1-2
Wipe packaging,1753,"Defines the container or packaging style for wipes, e.g. refill pack, travel-sized",text,No,0,,,,hb-3-2-1-7
Changing mat features,3035,"Describes special characteristics of baby changing mats, like built-in compartments or portable",text,No,0,,,,bt-9-4-1
Changing tray features,3035,"Describes the special characteristics of a baby changing tray, like built-in compartments or a safety strap",text,No,0,,,,bt-9-4-2
Diaper kit components,1754,"Specifies items included in a diaper kit, such as wipes or diaper changing pad",text,No,0,,,,bt-9-5-3
Diaper organizer features,3037,"Highlights unique features of diaper organizers, such as multiple compartments or waterproof lining",text,No,0,,,,bt-9-7-4
Disposable bag features,2994,"Highlights unique features of diaper pail refills, such as odor control or scented",text,No,0,,,,bt-9-8-4
Waste bag material,2950,"Identifies the material of waste bags, like plastic or biodegradable materials",text,No,0,,,,bt-9-8-4
Trash can features,3039,"Describes special characteristics of trash cans, like odor control or foot pedal",text,No,0,,,,bt-9-9-3
Ingredients,1385,"Specifies the components used in a product's formulation, e.g. zinc oxide, aloe vera",text,No,0,,,,hg-12-1-9
Treatment texture,1756,"Defines the consistency of treatment products, like diaper rash cream; e.g. thick, powder",text,No,0,,,,bt-9-10-4
Diaper bag material,2784,"Specifies the type of material a diaper bag is made from, such as leather or canvas",text,No,0,,,,lb-4
Wet bag features,2994,"Describes specific characteristics of diaper wet bags, such as leakproof or eco-friendly",text,No,0,,,,bt-9-11-3
Diaper size,1757,"Specifies the size of diapers, such as infant or toddler",text,No,0,,,,bt-9-12-5
Dietary preferences,1452,"Helps identify products suitable for specific diets, e.g. vegan, nut free",text,No,0,,,,hb-1-9-7-1
Flour/Grain type,1484,"Specifies the type of grain or flour in a product, e.g. corn, wheat",text,No,0,,,,fb-2-5-20
Baby drink packaging,1759,"Identifies the container type for baby beverages, e.g. carton, bottle",text,No,0,,,,bt-10-1-2-2
Baby food flavor,1758,"Specifies the taste profile of baby food products, such as green beans or banana",text,No,0,,,,bt-10-1-6
Formula level,1760,"Specifies the age suitability of baby formula, e.g. Level 1 (0-6 months)",text,No,0,,,,bt-10-1-4-4
Baby formula format,1761,"Specifies the preparation state of baby formula, such as dry powder or ready-to-feed",text,No,0,,,,bt-10-1-4-4
Baby snack flavor,1762,"Defines the taste profile of baby snacks, e.g. fruit, vegetables",text,No,0,,,,bt-10-1-5
Baby snack texture,1763,"Describes the feel or consistency of baby snacks, e.g. soft bites, puffs",text,No,0,,,,bt-10-1-5
Timer features,3042,"Describes the special functions of a timer, like adjustable duration or built-in display",text,No,0,,,,tg-1
Compatible baby bottle design,1764,"Indicates the baby bottle styles the product is compatible with, such as wide-neck",text,No,0,,,,bt-10-16-5-2-3
Bottle warmer features,3044,"Highlights unique features of bottle warmers, such as LCD display or timer",text,No,0,,,,bt-10-6-1-2
Cleaning instructions,1779,"Guides on the recommended cleaning method, such as dishwasher safe or hand wash only",text,No,0,,,,hg-11-2-5-2
Heating method,1772,"Specifies the technique used to heat, typically for baby bottle warmers; e.g. steam, water bath",text,No,0,,,,bt-10-6-1-2
Heating speed,1773,"Indicates the rate at which a product heats up, e.g. fast, slow",text,No,0,,,,bt-10-6-1-2
Temperature control,1774,"Defines the ability to adjust the product's temperature, usually for bottle warmers; e.g. adjustable, preset ",text,No,0,,,,bt-10-6-1-2
Bottle sterilizer features,3044,"Highlights specific functions of bottle sterilizers, like auto power-off or defrost function",text,No,0,,,,bt-10-6-2-3
Sterilization cycle time,1775,"Specifies how long a sterilizer takes, usually for baby products; e.g. standard, quick",text,No,0,,,,bt-10-6-2-3
Sterilization method,1776,"Identifies the type of sterilization process used, typically for baby products; e.g. steam, UV",text,No,0,,,,bt-10-6-2-3
Sterilization instructions,1777,"Describes how to sterilize a product, such as boiling or microwave safe",text,No,0,,,,bt-10-7
Pump accessories,1778,"Identifies items included with breast pumps, such as carrying case or bottles",text,No,0,,,,bt-10-9-3
Pump speed settings,1780,"Specifies the speed control features, typically for breast pumps; e.g. adjustable speed",text,No,0,,,,bt-10-9-2
Suction levels,1781,"Indicates suction strength in breast pumps, such as adjustable or fixed",text,No,0,,,,bt-10-9-2
Flow rate type,1765,"Defines the speed at which liquid is dispensed, typically for baby bottles; e.g. medium, slow",text,No,0,,,,bt-10-16-6-3
Nipple shape,1767,"Defines the form of baby bottle nipples, such as flat or angled",text,No,0,,,,bt-10-16-5-2-3
Stage,1766,"Defines the product's suitability for developmental stages, typically for baby products; e.g. newborn, stage 1",text,No,0,,,,bt-10-16-5-2-3
Bottle design,1768,"Describes the characteristics of a bottle, typically for baby products; e.g. easy-to-hold",text,No,0,,,,bt-10-16-6-3
Bottle material,2956,"Identifies the substance used in the construction of a bottle, such as glass or plastic",text,No,0,,,,bt-10-16-6-3
Nipple material,1769,"Specifies the material used for the bottle's nipple, e.g. latex, rubber",text,No,0,,,,bt-10-16-6-3
Nipple type,1770,"Specifies the type of nipple on baby bottles, such as wide neck or standard",text,No,0,,,,bt-10-16-6-3
Bib design,1771,"Defines the style or type of baby bib, such as bandana or sleeved",text,No,0,,,,bt-10-16-7
Lid type,1786,"Specifies the kind of lid used, such as flip-top or snap-on",text,No,0,,,,bt-10-16-8
Spout type,1787,"Defines the type of spout, usually for sippy cups; e.g. straw, soft",text,No,0,,,,bt-10-16-8
Nursing cover coverage,1782,"Defines the coverage provided by a nursing cover, such as full or partial",text,No,0,,,,bt-10-11
Nursing pad design,1783,"Describes the physical characteristics of nursing pads, such as thick or round",text,No,0,,,,bt-10-12-2
Cover closure design,1784,"Specifies the closure design, typically for pillow covers; e.g. envelope, zipper",text,No,0,,,,bt-10-13
Firmness,1514,"Defines the level of firmness in items like furniture or mattresses, e.g. extra soft, firm",text,No,0,,,,fr-22-6
Nursing pillow shape,2902,"Identifies the contour of nursing pillows, such as C-shaped or U-shaped",text,No,0,,,,bt-10-14
Potty/Toilet seat design,1788,"Defines the style or structure of potty or toilet seats, such as folding or standard",text,No,0,,,,bt-11-3
Potty training kit components,1789,"Specifies items included in a potty training kit, e.g. stickers, step stool",text,No,0,,,,bt-11-2
Fold type,2262,"Identifies the style of fold in paper products, such as Z-fold or bi-fold",text,No,0,,,,os-12-3
Display recommended use,2548,"Suggests the ideal usage for trade show displays based on format and design, like commercial or education",text,No,0,,,,bi-1-3-14
Display resolution,1334,"Defines resolution of a digital display, e.g. 1280 x 1024, full HD",text,No,0,,,,hg-2-6-2
Operating system,1859,"Defines the system software a device uses, such as iOS or ChromeOS",text,No,0,,,,so-2-6
Trade show display features,3046,"Identifies special characteristics of trade show displays, like touchscreen or lighting",text,No,0,,,,bi-1-3-13
Totem design,2549,"Specifies the design of trade show totems, such as single-sided or double-sided",text,No,0,,,,bi-1-3-13
Blade curve,1220,"Specifies the blade curve on a hockey stick, e.g. open, toe",text,No,0,,,,sg-1-12-7-1
Blade design,2189,"Specifies the blade style on utility knives, such as razor or snap-off",text,No,0,,,,ha-15-11-8-2
Blade type,1251,"Defines the shape and style of a product's blade, such as straight or dagger",text,No,0,,,,hb-3-2-5-2-6
Gear material,2843,"Specifies the material used in gear construction, such as carbon fiber or titanium",text,No,0,,,,vp-1-6-7-7
Protective gear features,3057,"Identifies the unique characteristics of protective gear, such as shockproof or anti-fog",text,No,0,,,,vp-1-6-7-7
Egg turning,3296,"Describes the method of rotating eggs in incubators, like automatic or manual",text,No,0,,,,bi-2-1-1
Humidity control method,3297,"Specifies the type of humidity regulation in devices, e.g. semi-automatic, manual",text,No,0,,,,bi-2-1-1
Suitable for egg type,3298,"Identifies the type of eggs an incubator can accommodate, such as chicken or duck",text,No,0,,,,bi-2-1-1
Animal feed form,2550,"Specifies the form of animal feed, such as liquid or granules",text,No,0,,,,sg-4-9-3-7-4-3
Livestock food ingredients,2551,"Specifies the primary ingredients in animal feed, such as barley or soybean meal",text,No,0,,,,bi-2-1-2-5
Ingredient category,1569,"Classifies the type of ingredients in vitamins and supplements, e.g. fiber, herbs",text,No,0,,,,hb-1-9-6-8
Chicken feed stage,2552,"Identifies the appropriate life stage for chicken feed, such as starter or layer",text,No,0,,,,bi-2-1-2-2
Pig feed stage,2553,"Identifies the life stage of pigs the feed is intended for, like grower or starter",text,No,0,,,,bi-2-1-2-5
Suitable for animal type,2554,"Identifies the type of animal the product is designed for, like horse or goat",text,No,0,,,,bi-2-1-4
Communication protocols,2555,"Specifies the networking protocol used, such as Modbus or Profibus",text,No,0,,,,bi-3-1-7
Controller design,2556,"Describes the form factor of automation controllers, such as compact or rack-mounted",text,No,0,,,,bi-3-1-7
Phase type,2557,"Identifies the phase type of motor controllers, such as single-phase or two-phase",text,No,0,,,,vp-1-2-3
Control method,2558,"Describes the control technique of automation components, like direct torque or scalar (V/f)",text,No,0,,,,bi-3-2
Controller drive type,2559,"Identifies the type of power used in automation control drives, like AC-powered or DC",text,No,0,,,,bi-3-2
Surverying accessories included,3299,"Specifies extra components packaged with surveying tools, such as a clamp or leveling rod",text,No,0,,,,bi-4-1-4
Traffic control device features,3047,"Identifies unique features of traffic control items, such as stackable or weighted base",text,No,0,,,,bi-4-2-2
Mirror handle design,2560,"Describes the style of handle on dental mirrors, like double-ended or single-ended",text,No,0,,,,bi-5-2-2
Dentistry items included,2561,"Identifies the dental tools included in a set, like dental mirror or plaque removal tool",text,No,0,,,,bi-5-2-3
Attachment type,1267,"Defines the method of product attachment or connection, such as snap-on or hook & loop",text,No,0,,,,hb-1-17-3-1-5
Prophy cup design,2562,"Describes the design of prophy cups used in dentistry, like brush or ribbed",text,No,0,,,,bi-5-2-4
Dental paste flavor,2563,"Identifies the flavor of dentistry paste, for example, unflavored or bubblegum",text,No,0,,,,bi-5-3
Grit type,2186,"Specifies the grit level of tools or dental products, such as coarse or ultra fine",text,No,0,,,,ha-15-60
Prop theme,2564,"Identifies the style or genre of film and television props, such as historical or sci-fi",text,No,0,,,,bi-6-2
Bullion form,2566,"Specifies the type of bullion, such as rounds or bars",text,No,0,,,,bi-7-1
Disposable tableware material,2950,"Identifies the material used in disposable tableware, such as plastic or paper",text,No,0,,,,bi-8-7-4
Furniture/Fixture color,1,"Identifies the color of furniture or fixtures, such as beige or black",text,No,0,,,,bi-8-9
Furniture/Fixture pattern,3,"Identifies the visual theme on furniture items, such as striped or checkered",text,No,0,,,,bi-8-9
Shelf color,1,"Describes the color of a product's shelf, such as beige or black",text,No,0,,,,bi-13-2
Shelf material,2567,"Identifies the type of material used in shelf construction, like wood or metal",text,No,0,,,,bi-13-2
Shelf pattern,3,"Describes the design or motif on industrial shelves, such as abstract or chevron",text,No,0,,,,bi-13-2
Bottom surface material,2811,"Identifies the material of the product's bottom surface, such as metal or glass",text,No,0,,,,bi-8-16
Burner material,2811,"Identifies the material used in the construction of a stove or grill burner, such as cast iron or stainless steel",text,No,0,,,,bi-8-16
Lid material,2811,"Identifies the type of material used in the product's lid, such as glass or stainless steel",text,No,0,,,,bi-8-16
Handle color,1,"Specifies the color of a product's handle, such as black or blue",text,No,0,,,,sg-4-6-11-12
Handle pattern,3,"Describes the design or motif on a product's handle, like floral or geometric",text,No,0,,,,sg-4-6-11-12
Jaw material,1388,"Identifies the material used in the jaw of a tool, like steel or titanium",text,No,0,,,,bi-9-3-2
Scale material,1388,"Identifies the material used in a scale, typically tree calipers; e.g. stainless steel, plastic",text,No,0,,,,bi-9-3-3
Chair features,3049,"Highlights special functions of a chair, such as massage function or power reclining",text,No,0,,,,fr-15-4-2-18
Bulldozer blade type,2573,"Identifies the style of blade on a bulldozer, such as angle or straight (S-blade)",text,No,0,,,,bi-11-2
Chipper technology,2574,"Identifies the type of technology used in chippers, like screw or drum",text,No,0,,,,bi-11-3
Item condition,2680,"Indicates the quality of an item, typically vehicles or vehicle parts; e.g. certified pre-owned, refurbished",text,No,0,,,,vp-2-3-4
Discharge type,2575,"Specifies the type of discharge in dump trucks, such as side dump or transfer",text,No,0,,,,bi-11-5
Drive type,2576,"Identifies the type of drive system in vehicles or heavy machinery, like 2WD or 4WD",text,No,0,,,,vp-2-2-6
Engine type,2694,"Identifies the kind of engine in a vehicle or part, such as electric or diesel",text,No,0,,,,vp-1-8-5-3
Fuel supply,2177,"Specifies the fuel source for vehicles or engines, such as diesel or hybrid",text,No,0,,,,vp-2-3-4
Tractor accessories included,3362,"Specifies extra features provided with the tractor, such as a mulching kit or snow blade",text,No,0,,,,hg-12-3-14-3
Propulsion type,1433,"Specifies the movement method for outdoor equipment, e.g. push, tow",text,No,0,,,,hg-12-3-10
Counter shape,2577,"Describes the form of a counter or desk, such as straight or curved",text,No,0,,,,bi-12-3-1
Rack design,2578,"Describes the layout or structure of a glass rack, such as open or compartment",text,No,0,,,,bi-12-1-2-2
Bell design,2579,"Describes the style of desk bells, e.g. push, call bell",text,No,0,,,,bi-12-2-1
Bell sound,2580,"Describes the type of sound a bell makes, such as a chime or ding",text,No,0,,,,bi-12-2-1
Hardware material,2790,"Specifies the composition of hardware items, such as metal or stainless steel",text,No,0,,,,sg-1-13-4-1
Lock type,1236,"Specifies locking mechanism a product uses, such as key or code",text,No,0,,,,hg-2-8-4
Frame color,1,"Specifies the color of a product's frame, such as clear or gold",text,No,0,,,,vp-1-6-1-4
Frame pattern,3,"Describes the visual design or style of a product's frame, such as geometric or striped",text,No,0,,,,vp-1-6-1-4
Handcuff lock type,2581,"Identifies the locking mechanism of handcuffs, like key or double lock",text,No,0,,,,bi-16-1-5
Detector sensitivity,2582,"Describes the adjustability of a metal detector's sensitivity, such as adjustable or fixed",text,No,0,,,,bi-16-2-3
Frequency type,3300,"Identifies the frequency setting on metal detectors, e.g. single, simultaneous",text,No,0,,,,bi-16-2-3
Metal detector features,3050,"Highlights unique features of metal detectors, e.g. holster, waterproof",text,No,0,,,,bi-16-2-3
Automation,2583,"Describes the level of automation in packaging machines, such as manual or automatic",text,No,0,,,,bi-17-1-5
Conveyor operation,2584,"Identifies how a conveyor system functions, such as powered or gravity-driven",text,No,0,,,,bi-18-1-5
Pneumatic conveyor operation,2585,"Identifies the operation mode of pneumatic conveyors, such as eco phase or dense phase",text,No,0,,,,bi-18-1-4
Suitable for vehicle type,2586,"Identifies the type of vehicle a product is compatible with, such as car or truck",text,No,0,,,,bi-18-2-3-6
Bedding size,1259,"Defines the size category for bedding items, e.g. standard, king",text,No,0,,,,sg-4-2-1-3
External defibrillator features,3051,"Highlights key features of medical defibrillators, such as pediatric function or on-screen ECG",text,No,0,,,,bi-19-4-1
Operating mode,2587,"Defines the method of operation, typically for medical equipment; e.g. semi-automatic",text,No,0,,,,bi-19-4-1
Tuning fork design,2588,"Describes the specific design of a tuning fork, such as weighted or unweighted",text,No,0,,,,bi-19-4-3-3
